Date,Meal,Brand,Flavor,Type,Initial Temperature,Microwaved,Added Water,Immediate % Eaten,Total % Eaten,Notes
10/25/2023,Lunch,Friskies,Salmon & Gravy,Chunky extra gravy,Cold,FALSE,FALSE,5%,10%,
10/25/2023,Dinner,Friskies,Turkey & Cheese,Shreds,Room,FALSE,FALSE,60%,100%,
10/26/2023,Lunch,Friskies,Turkey & Cheese,Shreds,Cold,FALSE,FALSE,25%,80%,
10/26/2023,Dinner,Friskies,Whitefish & Sardines,Shreds,Room,FALSE,FALSE,30%,95%,
10/27/2023,Lunch,Friskies,Whitefish & Sardines,Shreds,Cold,FALSE,FALSE,15%,60%,
10/27/2023,Dinner,Friskies,Turkey & Giblets,Pate,Room,FALSE,FALSE,20%,85%,
10/28/2023,Lunch,Friskies,Turkey & Giblets,Pate,Cold,FALSE,FALSE,5%,55%,
10/28/2023,Dinner,Friskies,Salmon,Pate,Room,TRUE,FALSE,85%,100%,Finished it within an hour
10/29/2023,Lunch,Friskies,Salmon,Pate,Cold,TRUE,FALSE,60%,95%,
10/29/2023,Dinner,Friskies,Turkey & Cheese,Shreds,Room,FALSE,FALSE,40%,100%,
10/30/2023,Lunch,Friskies,Turkey & Cheese,Shreds,Cold,TRUE,FALSE,95%,95%,
10/31/2023,Dinner,Friskies,Country Style,Pate,Room,FALSE,FALSE,5%,100%,"Went up to ~30% within an hour, and ate all of it before sunrise"
10/31/2023,Lunch,Friskies,Country Style,Pate,Cold,FALSE,TRUE,20%,50%,Initially didn't eat much. Ate more after I added heated water
11/1/2023,Dinner,Friskies,Chicken & Tuna,Pate,Room,FALSE,FALSE,15%,90%,
11/1/2023,Lunch,Friskies,Chicken & Tuna,Pate,Cold,FALSE,TRUE,0%,85%,I might have added too much water… She sniffed it then went to eat leftover dry food from breakfast
11/2/2023,Dinner,Friskies,Turkey & Giblets,Pate,Room,FALSE,FALSE,10%,85%,
11/3/2023,Lunch,Friskies,Turkey & Giblets,Pate,Cold,TRUE,TRUE,5%,65%,I also added a little water to the dish before microwaving
11/3/2023,Dinner,Friskies,Salmon & Gravy,Chunky extra gravy,Room,TRUE,FALSE,5%,20%,"After seeing that she p much didn't eat any of it, I microwaved it 6s + 5s. She did not seem at all interested in going back to try more after doing that :/"
11/4/2023,Lunch,Friskies,Salmon & Gravy,Chunky extra gravy,Cold,TRUE,FALSE,0%,35%,She didn't touch her food until after I had started eating lunch (so around 45 minutes after her food was served)
11/4/2023,Dinner,Friskies,Ocean Whitefish & Tuna,Pate,Room,FALSE,FALSE,50%,100%,It looked like she was hungry since she didn't eat much of her last food. She started eating it as soon as I put it down
11/5/2023,Lunch,Friskies,Ocean Whitefish & Tuna,Pate,Cold,FALSE,TRUE,50%,100%,Used a clean dish
11/6/2023,Dinner,Friskies,Mixed Grill,Pate,Room,FALSE,FALSE,45%,60%,
11/6/2023,Lunch,Friskies,Mixed Grill,Pate,Cold,FALSE,FALSE,10%,50%,Daylight savings change. Served at 12:45pm Duchess time
11/7/2023,Dinner,Friskies,Salmon,Pate,Room,FALSE,FALSE,65%,100%,11:30PM Duchess time. Made a guess for initial value. It was 90% when I woke up
11/7/2023,Lunch,Friskies,Salmon,Pate,Cold,FALSE,FALSE,65%,90%,
11/8/2023,Dinner,Friskies,Chicken,Meaty Bits,Room,FALSE,FALSE,30%,60%,She seemed v hungry as I was putting food down
11/9/2023,Lunch,Friskies,Chicken,Meaty bits,Cold,FALSE,FALSE,0%,0%,
11/9/2023,Dinner,Friskies,Salmon,Pate,Room,FALSE,FALSE,60%,100%,Ate all of it before I woke up
11/10/2023,Lunch,Friskies,Salmon,Pate,Cold,TRUE,FALSE,60%,80%,Charles heated it for 10s in microwave after she stopped initial eating. Went up to 60% after she went back to it. Was 10% before that
